,Unnamed: 0,f1_scores,perc_withaddednoise,dataset
439,39,0.912,0.1,Lee_et_al_Science_Covidonly
440,40,0.911,0.1,Lee_et_al_Science_Covidonly
441,41,0.91,0.1,Lee_et_al_Science_Covidonly
442,42,0.905,0.1,Lee_et_al_Science_Covidonly
443,43,0.903,0.1,Lee_et_al_Science_Covidonly
444,44,0.91,0.1,Lee_et_al_Science_Covidonly
445,45,0.912,0.1,Lee_et_al_Science_Covidonly
446,46,0.911,0.1,Lee_et_al_Science_Covidonly
447,47,0.899,0.1,Lee_et_al_Science_Covidonly
448,48,0.911,0.1,Lee_et_al_Science_Covidonly
449,49,0.914,0.1,Lee_et_al_Science_Covidonly
450,50,0.912,0.1,Lee_et_al_Science_Covidonly
451,51,0.913,0.1,Lee_et_al_Science_Covidonly
452,52,0.907,0.1,Lee_et_al_Science_Covidonly
453,53,0.91,0.1,Lee_et_al_Science_Covidonly
454,54,0.912,0.1,Lee_et_al_Science_Covidonly
455,55,0.91,0.1,Lee_et_al_Science_Covidonly
456,56,0.911,0.1,Lee_et_al_Science_Covidonly
457,57,0.904,0.1,Lee_et_al_Science_Covidonly
458,58,0.911,0.1,Lee_et_al_Science_Covidonly
459,59,0.9,0.1,Lee_et_al_Science_Covidonly
460,60,0.911,0.1,Lee_et_al_Science_Covidonly
461,61,0.913,0.1,Lee_et_al_Science_Covidonly
462,62,0.909,0.1,Lee_et_al_Science_Covidonly
463,63,0.908,0.1,Lee_et_al_Science_Covidonly
464,64,0.894,0.1,Lee_et_al_Science_Covidonly
465,65,0.909,0.1,Lee_et_al_Science_Covidonly
466,66,0.912,0.1,Lee_et_al_Science_Covidonly
467,67,0.908,0.1,Lee_et_al_Science_Covidonly
468,68,0.907,0.1,Lee_et_al_Science_Covidonly
469,69,0.908,0.1,Lee_et_al_Science_Covidonly
470,70,0.904,0.1,Lee_et_al_Science_Covidonly
471,71,0.913,0.1,Lee_et_al_Science_Covidonly
472,72,0.907,0.1,Lee_et_al_Science_Covidonly
473,73,0.896,0.1,Lee_et_al_Science_Covidonly
474,74,0.911,0.1,Lee_et_al_Science_Covidonly
475,75,0.913,0.1,Lee_et_al_Science_Covidonly
476,76,0.912,0.1,Lee_et_al_Science_Covidonly
477,77,0.911,0.1,Lee_et_al_Science_Covidonly
478,78,0.911,0.1,Lee_et_al_Science_Covidonly
479,79,0.906,0.1,Lee_et_al_Science_Covidonly
480,80,0.912,0.1,Lee_et_al_Science_Covidonly
481,81,0.897,0.1,Lee_et_al_Science_Covidonly
482,82,0.909,0.1,Lee_et_al_Science_Covidonly
483,83,0.903,0.1,Lee_et_al_Science_Covidonly
484,84,0.913,0.1,Lee_et_al_Science_Covidonly
485,85,0.907,0.1,Lee_et_al_Science_Covidonly
486,86,0.901,0.1,Lee_et_al_Science_Covidonly
487,87,0.913,0.1,Lee_et_al_Science_Covidonly
488,88,0.911,0.1,Lee_et_al_Science_Covidonly
489,89,0.912,0.1,Lee_et_al_Science_Covidonly
490,90,0.902,0.1,Lee_et_al_Science_Covidonly
491,91,0.909,0.1,Lee_et_al_Science_Covidonly
492,92,0.91,0.1,Lee_et_al_Science_Covidonly
493,93,0.906,0.1,Lee_et_al_Science_Covidonly
494,94,0.904,0.1,Lee_et_al_Science_Covidonly
495,95,0.912,0.1,Lee_et_al_Science_Covidonly
496,96,0.912,0.1,Lee_et_al_Science_Covidonly
497,97,0.91,0.1,Lee_et_al_Science_Covidonly
498,98,0.912,0.1,Lee_et_al_Science_Covidonly
499,99,0.91,0.1,Lee_et_al_Science_Covidonly
500,0,0.912,0.05,Lee_et_al_Science_Covidonly
501,1,0.912,0.05,Lee_et_al_Science_Covidonly
502,2,0.902,0.05,Lee_et_al_Science_Covidonly
503,3,0.912,0.05,Lee_et_al_Science_Covidonly
504,4,0.911,0.05,Lee_et_al_Science_Covidonly
505,5,0.908,0.05,Lee_et_al_Science_Covidonly
506,6,0.912,0.05,Lee_et_al_Science_Covidonly
507,7,0.908,0.05,Lee_et_al_Science_Covidonly
508,8,0.911,0.05,Lee_et_al_Science_Covidonly
509,9,0.911,0.05,Lee_et_al_Science_Covidonly
510,10,0.911,0.05,Lee_et_al_Science_Covidonly
511,11,0.912,0.05,Lee_et_al_Science_Covidonly
512,12,0.91,0.05,Lee_et_al_Science_Covidonly
513,13,0.912,0.05,Lee_et_al_Science_Covidonly
514,14,0.912,0.05,Lee_et_al_Science_Covidonly
515,15,0.913,0.05,Lee_et_al_Science_Covidonly
516,16,0.909,0.05,Lee_et_al_Science_Covidonly
517,17,0.913,0.05,Lee_et_al_Science_Covidonly
518,18,0.911,0.05,Lee_et_al_Science_Covidonly
519,19,0.912,0.05,Lee_et_al_Science_Covidonly
520,20,0.913,0.05,Lee_et_al_Science_Covidonly
521,21,0.912,0.05,Lee_et_al_Science_Covidonly
522,22,0.911,0.05,Lee_et_al_Science_Covidonly
523,23,0.913,0.05,Lee_et_al_Science_Covidonly
524,24,0.911,0.05,Lee_et_al_Science_Covidonly
525,25,0.905,0.05,Lee_et_al_Science_Covidonly
526,26,0.901,0.05,Lee_et_al_Science_Covidonly
527,27,0.912,0.05,Lee_et_al_Science_Covidonly
528,28,0.911,0.05,Lee_et_al_Science_Covidonly
529,29,0.909,0.05,Lee_et_al_Science_Covidonly
530,30,0.906,0.05,Lee_et_al_Science_Covidonly
531,31,0.905,0.05,Lee_et_al_Science_Covidonly
532,32,0.903,0.05,Lee_et_al_Science_Covidonly
533,33,0.908,0.05,Lee_et_al_Science_Covidonly
534,34,0.91,0.05,Lee_et_al_Science_Covidonly
535,35,0.908,0.05,Lee_et_al_Science_Covidonly
536,36,0.906,0.05,Lee_et_al_Science_Covidonly
537,37,0.912,0.05,Lee_et_al_Science_Covidonly
538,38,0.911,0.05,Lee_et_al_Science_Covidonly
539,39,0.911,0.05,Lee_et_al_Science_Covidonly
540,40,0.911,0.05,Lee_et_al_Science_Covidonly
541,41,0.91,0.05,Lee_et_al_Science_Covidonly
542,42,0.91,0.05,Lee_et_al_Science_Covidonly
543,43,0.91,0.05,Lee_et_al_Science_Covidonly
544,44,0.91,0.05,Lee_et_al_Science_Covidonly
545,45,0.912,0.05,Lee_et_al_Science_Covidonly
546,46,0.911,0.05,Lee_et_al_Science_Covidonly
547,47,0.912,0.05,Lee_et_al_Science_Covidonly
548,48,0.912,0.05,Lee_et_al_Science_Covidonly
549,49,0.907,0.05,Lee_et_al_Science_Covidonly
550,50,0.9,0.05,Lee_et_al_Science_Covidonly
